site_id,project,pattern,source_file,lock_line,unlock_lines,function,mutex_var,ground_truth,technical_justification
s356,librdkafka,REDUNDANT,rdkafka_broker.c,6353,[6360],rd_kafka_broker_active_toppar_add,%5,TP,"Redundant nested lock: rd_rkb_dbg macro re-locks rkb while broker lock is already held exclusively across active toppar list management."
s374,librdkafka,REDUNDANT,rdkafka_broker.c,5640,[5648],rd_kafka_broker_set_nodename,%5,TP,"Redundant nested lock: rd_rkb_dbg inside rd_kafka_broker_lock/unlock block at line 5638 re-acquires rkb_lock redundantly."
s33,memcached,REDUNDANT,slabs.c,721,[728],slabs_peek_page,@slabs_lock,FP,"Global slab array protection: slabs_lock is NOT held by caller slab_rebalance_start at slabs_mover.c:110; lock is mandatory against concurrent worker allocations."
s161,memcached,REDUNDANT,proto_parser.c,700,[710],process_get_cmd,%1,FP,"Cross-thread stats harvesting: t->stats.mutex protects per-thread stats against concurrent scraping by monitor threads executing threadlocal_stats (thread.c:986)."
s162,memcached,REDUNDANT,proto_parser.c,727,[735],process_get_cmd,%1,FP,"Cross-thread stats harvesting: t->stats.mutex serializes miss counters against concurrent thread.c global stats harvesting."
s166,memcached,REDUNDANT,proto_parser.c,885,[892],process_arithmetic_cmd,%1,FP,"Cross-thread stats harvesting: t->stats.mutex protects arithmetic stats updates from concurrent inspection by management threads."
s167,memcached,REDUNDANT,proto_parser.c,915,[922],process_delete_cmd,%1,FP,"Cross-thread stats harvesting: t->stats.mutex protects delete command statistics counters against concurrent multi-thread stats aggregation."
s4443,linux,REDUNDANT,drivers/tty/serial/serial_core.c,1266,[1275],uart_get_rs485_config,%1,FP,"IRQ-safe spinlock vs process mutex: spin_lock_irqsave(port->lock) is not redundant with port->mutex because port->lock serializes with hardware ISRs where sleepable mutexes cannot be held."
s4446,linux,REDUNDANT,drivers/tty/serial/serial_core.c,1310,[1318],uart_get_iso7816_config,%1,FP,"IRQ-safe spinlock vs process mutex: spin_lock_irqsave(port->lock) provides interrupt-context exclusion that port->mutex cannot provide."
s5330,linux,REDUNDANT,intel_guc_submission.c,601,[610],scrub_guc_desc_for_outstanding_g2h,%3,FP,"Context state drain barrier: explicit lock/unlock of ce->guc_state.lock flushes in-flight context submissions during GPU reset; different from guc->submission_state.lock."
s5704,linux,REDUNDANT,drivers/base/power/qos.c,688,[695],dev_pm_qos_drop_user_request,@dev_pm_qos_mtx,FP,"Asynchronous sysfs interface protection: dev_pm_qos_mtx protects PM QoS requests against concurrent user-space sysfs configuration writes without dpm_list_mtx."
s435,xen,REDUNDANT,include/xen/spinlock.h,243,[255],vmx_pi_desc_fixup,%3,FP,"Multi-CPU migration synchronization: new_lock is the target CPU per-cpu vmx_pi_blocking spinlock; mandatory when moving blocked vCPUs to prevent concurrent list corruption."
s604,xen,REDUNDANT,arch/x86/irq.c,2353,[2360],map_domain_pirq,@irq_lock,FP,"Hardware interrupt descriptor protection: desc->lock synchronizes physical IRQ controller programming against concurrent ISRs across all domains, not covered by d->event_lock."
s12,librdkafka,LOCAL_VARS,rdkafka.c,872,[880],rd_kafka_fatal_error,%1,FP,"Shared fatal error string protection: rd_kafka_rdlock prevents torn reads of rk_fatal.errstr against concurrent threads invoking rd_kafka_set_fatal_error under wrlock."
s14,librdkafka,LOCAL_VARS,rdkafka.c,984,[990],rd_kafka_get_fatal_error,%1,FP,"Shared error buffer read lock: rdlock protects formatting and copying of rk_fatal.errstr against concurrent writer updates."
s24,librdkafka,LOCAL_VARS,rdkafka_int.h,1054,[1060],rd_kafka_destroy_app,%1,FP,"Concurrent background thread termination: wrlock synchronizes instance teardown while the background worker thread is still actively polling queues."
s25,librdkafka,LOCAL_VARS,rdkafka.c,1255,[1262],rd_kafka_destroy_app,%1,FP,"Timer subsystem shutdown synchronization: rd_kafka_wrlock safely serializes rd_kafka_timers_interrupt with background thread timer execution prior to thread kill."
s31,librdkafka,LOCAL_VARS,rdkafka.c,984,[992],rd_kafka_consumer_close_q,%1,TP,"Thread-confined consumer queue purge: queue is strictly private during final consumer close sequence; no concurrent producer or consumer thread can access it."
s16,memcached,LOCAL_VARS,memcached.c,1049,[1051],resp_allocate,%138,FP,"Cross-thread memory statistics accounting: THR_STATS_LOCK protects th->stats.response_obj_bytes against concurrent inspection by monitoring threads."
s18,memcached,LOCAL_VARS,memcached.c,1585,[1590],do_store_item,%1,FP,"Per-thread slab statistics serialization: t->stats.mutex synchronizes cas_hits counter increments against thread.c global stats scraper."
s19,memcached,LOCAL_VARS,memcached.c,1600,[1605],do_store_item,%1,FP,"Per-thread slab statistics serialization: t->stats.mutex prevents data races on cas_hits when multiple threads report statistics."
s20,memcached,LOCAL_VARS,memcached.c,1606,[1612],do_store_item,%1,FP,"Per-thread slab statistics serialization: t->stats.mutex protects cas_badval counter from data races during thread.c multi-thread stats polling."
s21,memcached,LOCAL_VARS,memcached.c,1689,[1695],do_store_item,%1,FP,"Per-thread slab statistics serialization: t->stats.mutex protects cas_misses counter from concurrent inspection by thread.c threadlocal_stats."
s49,linux,LOCAL_VARS,arch/x86/kernel/i8259.c,313,[325],probe_8259A,@i8259A_lock,FP,"Hardware PIC register synchronization: raw_spin_lock_irqsave(i8259A_lock) serializes legacy PIC I/O port inb/outb probing against concurrent interrupts."
s420,linux,LOCAL_VARS,kernel/notifier.c,167,[175],atomic_notifier_chain_unregister,%1,FP,"Shared notifier chain protection: spin_lock_irqsave(nh->lock) protects shared notifier list unregistration against concurrent registrations across drivers."
s421,linux,LOCAL_VARS,kernel/notifier.c,454,[462],srcu_notifier_chain_unregister,%1,FP,"Shared SRCU notifier chain protection: mutex_lock(nh->mutex) serializes notifier list removal on global SRCU chains before synchronize_srcu."
s424,linux,LOCAL_VARS,kernel/notifier.c,264,[272],blocking_notifier_chain_unregister,%1,FP,"Shared blocking notifier chain protection: down_write(nh->rwsem) protects shared notifier list modification against concurrent registrations."
s63,openmpi,LOCAL_VARS,proc/proc.c,440,[450],ompi_proc_get_allocated,@ompi_proc_lock,FP,"Global MPI process registry protection: opal_mutex_lock(ompi_proc_lock) serializes ompi_proc_list traversal against concurrent process additions (MPI_Comm_spawn)."
s65,openmpi,LOCAL_VARS,proc/proc.c,581,[588],ompi_proc_find,@ompi_proc_lock,FP,"Global MPI process registry protection: ompi_proc_lock protects linked list lookup against concurrent modification during dynamic process creation."
s311,openmpi,LOCAL_VARS,pfile_open.c,95,[105],PMPI_File_open,%1,FP,"Framework lazy initialization bootstrap: opal_mutex_lock(ompi_mpi_file_bootstrap_mutex) serializes concurrent multi-threaded MPI I/O framework open."
s74,h2o,LOCAL_VARS,deps/neverbleed/neverbleed.c,710,[713],sign_stub,%union.pthread_mutex_t,FP,"Cryptographic key slots table protection: daemon_vars.keys.lock protects shared slot lookup against concurrent realloc in allocate_slot."
s75,h2o,LOCAL_VARS,deps/neverbleed/neverbleed.c,1101,[1106],digestsign_stub,%union.pthread_mutex_t,FP,"Cryptographic key slots table protection: daemon_vars.keys.lock prevents UAF during concurrent slot reallocation and refcount increment."
s76,h2o,LOCAL_VARS,deps/neverbleed/neverbleed.c,1101,[1106],decrypt_stub,%union.pthread_mutex_t,FP,"Cryptographic key slots table protection: daemon_vars.keys.lock serializes key retrieval across concurrent worker decrypt requests."
